Register_Number,Department,Program,Program_Full_Name,Program_Level,Year_of_Study,Semester,Academic_Year,Subject,Marks_100,Grade,Attendance_Percent,Result,Subject_Avg_Marks,Marks_vs_SubjectAvg
2449001,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,52.7,B,90.2,Pass,58.8,-6.1
2449002,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,62.6,B+,71.9,Pass,58.8,3.8
2449003,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,53,B,72.6,Pass,58.8,-5.8
2449004,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,48.6,C,77.7,Pass,58.8,-10.2
2449005,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,90.6,O,81.5,Pass,58.8,31.8
2449006,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,26.6,F,73.9,Fail,58.8,-32.2
2449007,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,55.2,B,70.5,Pass,58.8,-3.6
2449008,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,33.4,F,88.6,Fail,58.8,-25.4
2449009,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,90.8,O,80.9,Pass,58.8,32
2449010,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,31.1,F,86.5,Fail,58.8,-27.7
2449011,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,66.4,B+,78.1,Pass,58.8,7.6
2449012,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,80.2,A+,63.6,Pass,58.8,21.4
2449013,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,50.5,B,81.6,Pass,58.8,-8.3
2449014,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,58.8,B,72.1,Pass,58.8,0
2449015,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,95.3,O,85.6,Pass,58.8,36.5
2449016,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,40.4,C,62.3,Pass,58.8,-18.4
2449017,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,44.5,C,95.9,Pass,58.8,-14.3
2449018,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,35.3,F,77.9,Fail,58.8,-23.5
2449019,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,90.5,O,62.3,Pass,58.8,31.7
2449020,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,79.6,A,76.9,Pass,58.8,20.8
2449021,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,46.2,C,66.1,Pass,58.8,-12.6
2449022,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,68.6,B+,94.7,Pass,58.8,9.8
2449023,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,40.4,C,74.1,Pass,58.8,-18.4
2449024,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,38.3,F,98,Fail,58.8,-20.5
2449025,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,88,A+,73.2,Pass,58.8,29.2
2449026,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,57.3,B,61.5,Pass,58.8,-1.5
2449027,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,57.1,B,64.7,Pass,58.8,-1.7
2449028,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,90.5,O,64.4,Pass,58.8,31.7
2449029,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,27.2,F,70.6,Fail,58.8,-31.6
2449030,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,74.9,A,85.5,Pass,58.8,16.1
2449031,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,54.2,B,76.3,Pass,58.8,-4.6
2449032,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,53.6,B,96.1,Pass,58.8,-5.2
2449033,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,50.1,B,95.4,Pass,58.8,-8.7
2449034,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,95.6,O,93.3,Pass,58.8,36.8
2449035,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,74,A,75.3,Pass,58.8,15.2
2449036,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,77.1,A,70.3,Pass,58.8,18.3
2449037,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,83.3,A+,80.6,Pass,58.8,24.5
2449038,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,30.9,F,92.3,Fail,58.8,-27.9
2449039,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,82.6,A+,69.8,Pass,58.8,23.8
2449040,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,82.3,A+,87.1,Pass,58.8,23.5
2449041,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,19.8,F,69.3,Fail,58.8,-39
2449042,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,34.2,F,72.6,Fail,58.8,-24.6
2449043,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,53,B,84.1,Pass,58.8,-5.8
2449044,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,90.9,O,73.7,Pass,58.8,32.1
2449045,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,52.7,B,72.8,Pass,58.8,-6.1
2449046,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,56.2,B,78,Pass,58.8,-2.6
2449047,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,31.3,F,92.2,Fail,58.8,-27.5
2449048,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,34.9,F,68.6,Fail,58.8,-23.9
2449049,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,56.4,B,87.7,Pass,58.8,-2.4
2449050,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,46.7,C,73,Pass,58.8,-12.1
2449051,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,86.9,A+,79.9,Pass,58.8,28.1
2449052,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,67.7,B+,74.6,Pass,58.8,8.9
2449053,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,55.8,B,62,Pass,58.8,-3
2449054,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,58.9,B,87.7,Pass,58.8,0.1
2449055,Physics,MSc,M.Sc. Physics,PG,2,4,2025-26,Advanced Spectroscopy,32.9,F,84.9,Fail,58.8,-25.9
2548001,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,58.7,B,79,Pass,59.4,-0.7
2548002,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,36.2,F,60.1,Fail,59.4,-23.2
2548003,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,52.5,B,75.3,Pass,59.4,-6.9
2548004,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,62.7,B+,96.5,Pass,59.4,3.3
2548005,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,65.3,B+,84.6,Pass,59.4,5.9
2548006,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,36.7,F,85.1,Fail,59.4,-22.7
2548007,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,65.9,B+,70.1,Pass,59.4,6.5
2548008,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,95.8,O,79.4,Pass,59.4,36.4
2548009,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,66.7,B+,63.6,Pass,59.4,7.3
2548010,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,93.8,O,74.7,Pass,59.4,34.4
2548011,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,58.3,B,90.2,Pass,59.4,-1.1
2548012,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,28,F,94.9,Fail,59.4,-31.4
2548013,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,63.5,B+,69.7,Pass,59.4,4.1
2548014,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,43.8,C,77.8,Pass,59.4,-15.6
2548015,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,32.8,F,84.8,Fail,59.4,-26.6
2548016,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,93.2,O,60.4,Pass,59.4,33.8
2548017,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,29.5,F,97.5,Fail,59.4,-29.9
